ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
AAPL,0000320193,2020,,70898000000,81801000000,3240000000,13372000000,59531000000,10903000000,13313000000,162819000000,105718000000,48844000000,,10260000000,91807000000,102067000000,53223000000,,-2003000000,,0.18342180705869443
AAPL,0000320193,2021,,63930000000,76477000000,3576000000,10481000000,55256000000,12547000000,10495000000,143713000000,105392000000,38016000000,,8773000000,98667000000,107440000000,69424000000,,-8468000000,-6465000000,0.1594383680423506
AAPL,0000320193,2022,,66288000000,77344000000,2873000000,9680000000,57411000000,11056000000,7309000000,134836000000,125481000000,34940000000,,9613000000,109106000000,118719000000,83779000000,,-35198000000,-26730000000,0.14428164731484103
AAPL,0000320193,2023,,108949000000,120233000000,2645000000,14527000000,94680000000,11284000000,11085000000,135405000000,153982000000,23646000000,,11128000000,98959000000,110087000000,86441000000,,-53351000000,-18153000000,0.13302260844085087
AAPL,0000320193,2024,,119437000000,130541000000,,19300000000,99803000000,11104000000,10708000000,143566000000,145308000000,29965000000,,9822000000,95281000000,105103000000,75138000000,,-41529000000,11822000000,0.16204461684424407
MSFT,0000789019,2021,,42959000000,52659000000,2686000000,4448000000,39240000000,9700000000,13925000000,181915000000,72310000000,13576000000,,3749000000,59578000000,63327000000,49751000000,,92280000000,,0.10181285478850027
MSFT,0000789019,2022,,52959000000,63659000000,2591000000,8755000000,44281000000,10700000000,15441000000,184406000000,88657000000,14224000000,,8072000000,50074000000,58146000000,43922000000,,73453000000,-18827000000,0.16507655177615205
MSFT,0000789019,2023,,69916000000,79216000000,2346000000,9831000000,61271000000,9300000000,20622000000,169684000000,95082000000,13931000000,,2749000000,47032000000,49781000000,35850000000,,57922000000,-15531000000,0.13826615285083402
MSFT,0000789019,2024,,83383000000,95983000000,2063000000,10978000000,72738000000,12600000000,23886000000,184257000000,104149000000,34704000000,,5247000000,41990000000,47237000000,12533000000,,40157000000,-17765000000,0.13113383343685794
MSFT,0000789019,2025,,88523000000,99523000000,,16950000000,72361000000,11000000000,28107000000,159734000000,125286000000,18315000000,,2249000000,42688000000,44937000000,26622000000,,13884000000,-26273000000,0.18978625253328257
TSLA,0001318605,2020,21461000000,-388000000,,663000000,58000000,-976000000,,2101000000,12103000000,10667000000,3686000000,1399000000,,,1399000000,-2287000000,,-3649000000,,
TSLA,0001318605,2021,24578000000,-69000000,,685000000,110000000,-862000000,,1327000000,26717000000,14248000000,6268000000,1758000000,,,1758000000,-4510000000,,4443000000,8092000000,
TSLA,0001318605,2022,31536000000,1994000000,,748000000,292000000,721000000,,3157000000,27100000000,19705000000,19384000000,1088000000,,,1088000000,-18296000000,,-13077000000,-17520000000,0.2882527147087858
TSLA,0001318605,2023,53823000000,6523000000,,371000000,699000000,5519000000,,6482000000,40917000000,26709000000,17576000000,1016000000,,,1016000000,-16560000000,,-4384000000,8693000000,0.11241556770665809
TSLA,0001318605,2024,81462000000,13656000000,,,1132000000,12556000000,,7158000000,49616000000,28748000000,16253000000,1975000000,,,1975000000,-14278000000,,2640000000,7024000000,0.08270017533606078
NFLX,0001065280,2020,15794341000,1605226000,1688383000,420493000,15216000,1211242000,83157000,173946000,6178504000,6855696000,5018437000,0,,14759260000,14759260000,9740823000,,-5695629000,,0.012406458272521358
NFLX,0001065280,2021,20156447000,2604254000,2707833000,626023000,195315000,1866916000,103579000,253035000,9761580000,7805785000,8205550000,499878000,,15809095000,16308973000,8103423000,,-6749633000,-1054004000,0.09471053436787634
NFLX,0001065280,2022,24996056000,4585289000,4700999000,767499000,437954000,2761395000,115710000,497923000,8069825000,8488966000,6027804000,699823000,,14693072000,15392895000,9365091000,,-7146768000,-397135000,0.13688847324877654
NFLX,0001065280,2023,29697844000,6194509000,6402921000,765620000,723875000,5116228000,208412000,524585000,9266473000,7930974000,5147176000,0,,14353076000,14353076000,9205900000,,-3811677000,3335091000,0.1239490125431007
NFLX,0001065280,2024,31615550000,5632831000,5969513000,,772005000,4491924000,336682000,407729000,9918133000,8860655000,7116913000,399844000,,14143417000,14543261000,7426348000,,-6459279000,-2647602000,0.14665946292208729
