ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
AAPL,0000320193,2020,,66288000000,77344000000,2873000000,9680000000,12673000000,11056000000,7309000000,143713000000,105392000000,38016000000,,8773000000,98667000000,107440000000,69424000000,,-8468000000,,0.43305149196975795
AAPL,0000320193,2021,,108949000000,120233000000,2645000000,14527000000,94680000000,11284000000,11085000000,134836000000,125481000000,34940000000,,9613000000,109106000000,118719000000,83779000000,,-35198000000,-26730000000,0.13302260844085087
AAPL,0000320193,2022,,119437000000,130541000000,2931000000,19300000000,99803000000,11104000000,10708000000,135405000000,153982000000,23646000000,,11128000000,98959000000,110087000000,86441000000,,-53351000000,-18153000000,0.16204461684424407
AAPL,0000320193,2023,,114301000000,125820000000,3933000000,16741000000,96995000000,11519000000,10959000000,143566000000,145308000000,29965000000,,9822000000,95281000000,105103000000,75138000000,,-41529000000,11822000000,0.14719174228036858
AAPL,0000320193,2024,,123216000000,134661000000,,29749000000,93736000000,11445000000,9447000000,152987000000,176392000000,29943000000,,10912000000,85750000000,96662000000,66719000000,,-64260000000,-22731000000,0.24091185164189982
MSFT,0000789019,2021,,69916000000,79216000000,2346000000,9831000000,61271000000,9300000000,20622000000,184406000000,88657000000,14224000000,,8072000000,50074000000,58146000000,43922000000,,73453000000,,0.13826615285083402
MSFT,0000789019,2022,,83383000000,95983000000,2063000000,10978000000,72738000000,12600000000,23886000000,169684000000,95082000000,13931000000,,2749000000,47032000000,49781000000,35850000000,,57922000000,-15531000000,0.13113383343685794
MSFT,0000789019,2023,,88523000000,99523000000,1968000000,16950000000,72361000000,11000000000,28107000000,184257000000,104149000000,34704000000,,5247000000,41990000000,47237000000,12533000000,,40157000000,-17765000000,0.18978625253328257
MSFT,0000789019,2024,,109433000000,124633000000,2935000000,19651000000,88136000000,15200000000,44477000000,159734000000,125286000000,18315000000,,2249000000,42688000000,44937000000,26622000000,,13884000000,-26273000000,0.18231326597827197
MSFT,0000789019,2025,,128528000000,150528000000,,21795000000,101832000000,22000000000,64551000000,191131000000,141218000000,30242000000,,2999000000,40152000000,43151000000,12909000000,,16672000000,2788000000,0.17629644009803683
AMZN,0001018724,2020,125555000000,6873000000,32124000000,1647000000,566000000,7222000000,25251000000,,132733000000,126385000000,42122000000,,1155000000,31816000000,32971000000,-9151000000,,-36929000000,,0.0726759116589625
AMZN,0001018724,2021,469822000000,24879000000,59175000000,1809000000,4791000000,33364000000,34296000000,,161580000000,142266000000,36220000000,,1491000000,48744000000,50235000000,14015000000,,-18397000000,18532000000,0.12556676713405845
AMZN,0001018724,2022,513983000000,12248000000,54169000000,2367000000,-3217000000,-2722000000,41921000000,,146791000000,155393000000,53888000000,,2999000000,67150000000,70149000000,16261000000,,-65489000000,-47092000000,
AMZN,0001018724,2023,574785000000,36852000000,85515000000,3182000000,7120000000,30425000000,48663000000,,172351000000,164917000000,73387000000,,8494000000,58314000000,66808000000,-6579000000,,-74447000000,-8958000000,0.1896390997469703
AMZN,0001018724,2024,637959000000,68593000000,121388000000,,9265000000,59248000000,52795000000,,190867000000,179431000000,78779000000,151000000,5017000000,52623000000,57791000000,-20988000000,,-72511000000,1936000000,0.1352298104009458
GOOGL,0001652044,2020,182527000000,41224000000,,135000000,7813000000,40269000000,,22281000000,174296000000,56834000000,26465000000,,999000000,,999000000,-25466000000,,89998000000,,0.16249324071378063
GOOGL,0001652044,2021,257637000000,78714000000,,346000000,14701000000,76033000000,,24640000000,188143000000,64254000000,20945000000,,0,,,,,102944000000,12946000000,0.1620230564066392
GOOGL,0001652044,2022,,74842000000,,357000000,11356000000,59972000000,,31485000000,164795000000,69300000000,21879000000,,,,,,,73616000000,-29328000000,0.1592081650964558
