ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
AAPL,0000320193,2009,,4409000000,,,1512000000,3496000000,,,32311000000,14092000000,6392000000,,,,,,,11827000000,,0.3019169329073482
AAPL,0000320193,2010,,8327000000,,,2828000000,6119000000,,,31555000000,11506000000,9352000000,,,,,,,10697000000,-1130000000,0.3160836034424947
AAPL,0000320193,2011,,11740000000,,,3831000000,8235000000,,,41678000000,20722000000,11875000000,,,,,,,9081000000,-1616000000,0.317503729487817
AAPL,0000320193,2012,,18385000000,,,4527000000,14013000000,,,44988000000,27970000000,5263000000,,,,,,,11755000000,2674000000,0.2441747572815534
AAPL,0000320193,2013,,33790000000,,0,8283000000,25922000000,,,57653000000,38542000000,11261000000,,,,,,,7850000000,-3905000000,0.24215757930127174
AAPL,0000320193,2014,,55241000000,,0,14030000000,41733000000,,,73286000000,43658000000,9815000000,,,,,,,19813000000,11963000000,0.25160052364471064
AAPL,0000320193,2015,,48999000000,,136000000,13118000000,37037000000,,8165000000,68531000000,63448000000,10746000000,,0,28987000000,28987000000,18241000000,,-5663000000,-25476000000,0.2615491974877879
AAPL,0000320193,2016,,52503000000,,384000000,13973000000,39510000000,,9571000000,89378000000,80610000000,14259000000,,2500000000,53329000000,55829000000,41570000000,,-7991000000,-2328000000,0.26126058747639436
AAPL,0000320193,2017,,71230000000,80430000000,733000000,19121000000,53394000000,9200000000,11247000000,106869000000,79006000000,13844000000,,3500000000,75427000000,78927000000,65083000000,,10519000000,18510000000,0.26368337585327173
AAPL,0000320193,2018,215639000000,60024000000,70529000000,1456000000,15685000000,45687000000,10505000000,12734000000,128645000000,100814000000,21120000000,,6496000000,97207000000,103703000000,82583000000,,215000000,-10304000000,0.2555725738121619
AAPL,0000320193,2019,,61344000000,71501000000,2323000000,15738000000,48351000000,10157000000,12451000000,131339000000,115929000000,25913000000,,8784000000,93735000000,102519000000,76606000000,,-19287000000,-19502000000,0.24556476150353415
AAPL,0000320193,2020,,70898000000,81801000000,3240000000,13372000000,59531000000,10903000000,13313000000,162819000000,105718000000,48844000000,,10260000000,91807000000,102067000000,53223000000,,-2003000000,17284000000,0.18342180705869443
AAPL,0000320193,2021,,63930000000,76477000000,3576000000,10481000000,55256000000,12547000000,10495000000,143713000000,105392000000,38016000000,,8773000000,98667000000,107440000000,69424000000,,-8468000000,-6465000000,0.1594383680423506
AAPL,0000320193,2022,,66288000000,77344000000,2873000000,9680000000,57411000000,11056000000,7309000000,134836000000,125481000000,34940000000,,9613000000,109106000000,118719000000,83779000000,,-35198000000,-26730000000,0.14428164731484103
AAPL,0000320193,2023,,108949000000,120233000000,2645000000,14527000000,94680000000,11284000000,11085000000,135405000000,153982000000,23646000000,,11128000000,98959000000,110087000000,86441000000,,-53351000000,-18153000000,0.13302260844085087
AAPL,0000320193,2024,,119437000000,130541000000,,19300000000,99803000000,11104000000,10708000000,143566000000,145308000000,29965000000,,9822000000,95281000000,105103000000,75138000000,,-41529000000,11822000000,0.16204461684424407
MSFT,0000789019,2010,13762000000,22271000000,23671000000,106000000,6133000000,4289000000,1400000000,3182000000,49280000000,27034000000,6111000000,2000000000,,3746000000,5746000000,-365000000,,14135000000,,0.5884667050470159
MSFT,0000789019,2011,,20363000000,22063000000,38000000,5252000000,14569000000,1700000000,3119000000,55676000000,26147000000,10339000000,1000000000,,4939000000,5939000000,-4400000000,,18190000000,4055000000,0.26497149487916855
MSFT,0000789019,2012,,24098000000,25898000000,151000000,6253000000,18760000000,1800000000,1977000000,74918000000,28774000000,6076000000,,,11921000000,11921000000,5845000000,,40068000000,21878000000,0.24999000519729742
MSFT,0000789019,2013,,27161000000,29161000000,295000000,4921000000,23150000000,2000000000,2355000000,85084000000,32688000000,5505000000,,1231000000,10713000000,11944000000,6439000000,,45660000000,5592000000,0.17530547540166008
MSFT,0000789019,2014,,21763000000,23963000000,380000000,5289000000,16978000000,2200000000,2305000000,101466000000,37417000000,9610000000,0,2999000000,12601000000,15600000000,5990000000,,51440000000,5780000000,0.23752638433556383
MSFT,0000789019,2015,,26764000000,29364000000,429000000,5189000000,21863000000,2600000000,4257000000,114246000000,45625000000,6938000000,2000000000,0,20645000000,22645000000,15707000000,,59683000000,8243000000,0.19181576223569421
MSFT,0000789019,2016,,27759000000,31159000000,597000000,5746000000,22074000000,3400000000,5485000000,122797000000,49647000000,3804000000,4985000000,2499000000,27808000000,35292000000,31488000000,,61862000000,2179000000,0.20654205607476636
MSFT,0000789019,2017,,18161000000,22261000000,781000000,6314000000,12193000000,4100000000,5944000000,139660000000,59357000000,8669000000,12904000000,0,40557000000,53461000000,44792000000,,58730000000,-3132000000,0.34116820662452046
MSFT,0000789019,2018,,26078000000,30978000000,1243000000,5100000000,20539000000,4900000000,8343000000,162696000000,55745000000,5595000000,9072000000,1049000000,76073000000,86194000000,80599000000,,91235000000,32505000000,0.198915714341433
MSFT,0000789019,2019,,29025000000,35125000000,2222000000,4412000000,25489000000,6100000000,8129000000,169662000000,58488000000,6510000000,,3998000000,72242000000,76240000000,69730000000,,100666000000,9431000000,0.14755359352530015
MSFT,0000789019,2020,,35058000000,42758000000,2733000000,19903000000,16571000000,7700000000,11632000000,175552000000,69420000000,11356000000,,5516000000,66662000000,72178000000,60822000000,,89260000000,-11406000000,0.5456763722103416
MSFT,0000789019,2021,,42959000000,52659000000,2686000000,4448000000,39240000000,9700000000,13925000000,181915000000,72310000000,13576000000,,3749000000,59578000000,63327000000,49751000000,,92280000000,3020000000,0.10181285478850027
MSFT,0000789019,2022,,52959000000,63659000000,2591000000,8755000000,44281000000,10700000000,15441000000,184406000000,88657000000,14224000000,,8072000000,50074000000,58146000000,43922000000,,73453000000,-18827000000,0.16507655177615205
MSFT,0000789019,2023,,69916000000,79216000000,2346000000,9831000000,61271000000,9300000000,20622000000,169684000000,95082000000,13931000000,,2749000000,47032000000,49781000000,35850000000,,57922000000,-15531000000,0.13826615285083402
MSFT,0000789019,2024,,83383000000,95983000000,2063000000,10978000000,72738000000,12600000000,23886000000,184257000000,104149000000,34704000000,,5247000000,41990000000,47237000000,12533000000,,40157000000,-17765000000,0.13113383343685794
MSFT,0000789019,2025,,88523000000,99523000000,,16950000000,72361000000,11000000000,28107000000,159734000000,125286000000,18315000000,,2249000000,42688000000,44937000000,26622000000,,13884000000,-26273000000,0.18978625253328257
